Country,Year,Co2 Emissions per Capita,Rank
North America,1987,19.05465847,26
North America,1988,19.71911525,18
North America,1989,19.77240246,16
North America,1990,18.98661574,27
North America,1991,18.58304512,37
North America,1992,18.62995599,36
North America,1993,18.79485121,31
North America,1994,18.87301504,29
North America,1995,18.87027184,30
North America,1996,19.22245718,24
North America,1997,19.92285374,13
North America,1998,19.86500581,14
North America,1999,19.73514048,17
North America,2000,20.11481753,11
North America,2001,19.80333828,15
North America,2002,19.18917941,25
North America,2003,19.28954272,22
North America,2004,19.33437044,21
North America,2005,19.24436165,23
North America,2006,18.73122104,33
North America,2007,18.89463463,28
North America,2008,18.12704499,42
North America,2009,16.6912471,46
North America,2010,17.26997425,44
North America,2011,16.53901451,48
North America,2012,15.77403901,51
North America,2013,16.08246342,49
South Asia,1961,0.278026645,53
South Asia,1962,0.299625306,52
South Asia,1963,0.318525547,50
South Asia,1964,0.307700506,51
South Asia,1965,0.328889183,48
South Asia,1966,0.331782873,46
South Asia,1967,0.329633906,47
South Asia,1968,0.354107668,40
South Asia,1969,0.35026156,42
South Asia,1970,0.349332934,43
South Asia,1971,0.352442164,41
South Asia,1972,0.328871082,49
South Asia,1973,0.33328949,45
South Asia,1974,0.336787557,44
South Asia,1975,0.356947318,39
South Asia,1976,0.362854144,38
South Asia,1977,0.375434536,36
South Asia,1978,0.37399567,37
South Asia,1979,0.384786346,35
South Asia,1980,0.399171067,34
South Asia,1981,0.420412471,33
South Asia,1982,0.426495964,32
South Asia,1983,0.450119793,31
South Asia,1984,0.452272649,30
South Asia,1985,0.486066273,29
South Asia,1986,0.507675543,28
South Asia,1987,0.530209616,27
South Asia,1988,0.559708302,26
South Asia,1989,0.595992894,23
South Asia,1990,0.567342503,25
South Asia,1991,0.592678265,24
South Asia,1992,0.605793263,22
South Asia,1993,0.617441315,21
South Asia,1994,0.636840582,20
South Asia,1995,0.673619397,19
South Asia,1996,0.692377846,18
South Asia,1997,0.717335516,17
South Asia,1998,0.718263187,16
South Asia,1999,0.759801003,15
South Asia,2000,0.773531071,13
South Asia,2001,0.773166446,14
South Asia,2002,0.78573783,12
South Asia,2003,0.795362375,11
South Asia,2004,0.839647473,10
South Asia,2005,0.863837789,9
South Asia,2006,0.907528053,8
South Asia,2007,0.982300307,7
South Asia,2008,1.023284506,6
South Asia,2009,1.102908371,5
South Asia,2010,1.149821902,4
South Asia,2011,1.198544362,3
South Asia,2012,1.274240336,2
South Asia,2013,1.291827692,1
